 index A + B → Y
0 : CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=C(C=C(C=C3)F)F)C(=O)OCC)Br + CC(C)N1CCNCC1 → CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=C(C=C(C=C3)F)F)C(=O)OCC)N4CCN(CC4)C(C)C
1 : C1=CC=C(C=C1)I + CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC → CN1C=NC2=C1C=C(C(=C2F)NC3=CC=CC=C3)C(=O)OC
2 : CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C + C1=CC(=CC=C1N)S(=O)(=O)N → CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)N)C
3 : C1=C(C=NC=C1Br)Br + CC(=O)N1CCNCC1 → CC(=O)N1CCN(CC1)C2=CC(=CN=C2)Br
4 : CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3 + C1=CC(=CC=C1N)N2C=CN=C2 → CN1CC(OC2=C(C1)C=CC(=N2)NC3=CC=C(C=C3)N4C=CN=C4)C5=CC=CC=C5
5 : CC(=O)N1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CN=CC=C3 + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)C5=CN=CC=C5)C(=O)C)C=C3)OC
6 : CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CN=CC=C3 + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)C5=CN=CC=C5)C)C=C3)OC
7 : C1=CN=C(C=C1F)Cl + CC(C)(C)OC(=O)N → CC(C)(C)OC(=O)NC1=NC=CC(=C1)F
8 : C1=CC2=NC=C(N2C=C1)C3=NC(=NC=C3Cl)Cl + COC1=C(C=CC(=C1)C=O)N → COC1=C(C=CC(=C1)C=O)NC2=NC=C(C(=N2)C3=CN=C4N3C=CC=C4)Cl
9 : C1COCCN1CC2=CC(=C(C=C2)Br)F + CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N → CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F
10 : CC(=O)NC1=NC=CC(=C1)Cl + C1OC2=C(O1)C(=C(C=C2)Cl)N → CC(=O)NC1=NC=CC(=C1)NC2=C(C=CC3=C2OCO3)Cl
11 : C1=C(C(=CN=C1Cl)Cl)I + CN1CCC2=C(C1=O)C(=CC=C2)N → CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)Cl
12 : C1=C(C(=CN=C1Cl)Cl)I + CONC(=O)C1=CC=CC=C1N → CONC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)Cl
13 : C1=C(C(=CN=C1Cl)Cl)I + CNC(=O)C1=CC=CC=C1N → CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)Cl
14 : C1COCCN1CC2=CC(=C(C=C2)Cl)F + CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N → CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F
15 : C[C@@H](C1=NC=C(C=N1)F)NC2=NC(=NC(=N2)Cl)N3CCOCC3 + CC1=CN=C(S1)N → CC1=CN=C(S1)NC2=NC(=NC(=N2)N3CCOCC3)N[C@@H](C)C4=NC=C(C=N4)F
16 : CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C#N)Cl + CC1=NN(C=C1N)C → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NC)C#N)C
17 : CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C#N)Cl + CN1C(=CC(=N1)OC)N → CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C#N)NC3=CC(=NN3C)OC
18 : CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3C#N)Cl + CC1=NN(C=C1N)C → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=CC=CC4=C3C(=O)N(CC4)C)C#N)C
19 : C1OC2=C(C(=CN=C2O1)Cl)N + C1CC1C(=O)NC2=NC=CC(=C2)Cl → C1CC1C(=O)NC2=NC=CC(=C2)NC3=C4C(=NC=C3Cl)OCO4
20 : C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=C5C(=C(C=C4)I)C6=CC=CC=C6S5 + CCN1CCNCC1 → CCN1CCN(CC1)C2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7
21 : COC1=C(C=C(C=C1)Br)[N+](=O)[O-] + CC(=O)N1CCNCC1 → CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)OC)[N+](=O)[O-]
22 : CONC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)Cl + CC1=NN(C=C1N)C → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NOC)Cl)C
23 : COC1=C(C=CC(=C1)Br)NC2=NC=C(C(=N2)C3=CN=C4N3C=CC=C4)Cl + CC1CNCC(N1)C → CC1CN(CC(N1)C)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)C4=CN=C5N4C=CC=C5)Cl)OC
24 : CC1=CN=C(N=C1C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4)Cl + CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)N)OC → CC1=CN=C(N=C1C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4)NC5=C(C=C(C=C5)N6CCN(CC6)C(=O)C)OC
25 : C1COCCN1CC2=CC=C(C=C2)Br + CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N → CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=CC=C(C=C4)CN5CCOCC5
